Case Number,Case Name,Case Manager,Case Status,Case Type,State,Date Opened
2026-100252,Sample Client 263,"Fontaine, Marcus",Open - Investigation,Wrongful Death,AZ,7/9/2025
2026-100133,Sample Client 144,"Dutta, Priya",Open - Negotiation,Wrongful Death,NM,8/15/2025
2026-100309,Sample Client 320,"Hollis, Wren",Open - Demand Sent,Slip and Fall,CA,5/19/2026
2026-100222,Sample Client 233,"Ellison, Grace",Closed,Wrongful Death,FL,1/29/2025
2026-100195,Sample Client 206,"Ellison, Grace",Open - Negotiation,Premises Liability,NM,12/20/2025
2026-100325,Sample Client 336,"Hollis, Wren",Open - Demand Sent,Auto Accident,CO,9/8/2025
2026-100384,Sample Client 395,"Iyer, Nikhil",Open - Demand Sent,Auto Accident,AZ,6/20/2025
2026-100450,Sample Client 461,"Kowalski, Tomasz",Open - Litigation,Wrongful Death,NM,6/5/2025
2026-100035,Sample Client 46,"Alvarez, Marisol",Open - Treating,Slip and Fall,WA,6/15/2025
2026-100465,Sample Client 476,"Kowalski, Tomasz",Open - Investigation,Wrongful Death,CO,1/18/2026
2026-100373,Sample Client 384,"Iyer, Nikhil",Open - Demand Sent,Dog Bite,GA,10/26/2025
2026-100144,Sample Client 155,"Dutta, Priya",Open - Treating,Auto Accident,CO,4/6/2026
2026-100210,Sample Client 221,"Ellison, Grace",Open - Investigation,Wrongful Death,GA,10/1/2025
2026-100066,Sample Client 77,"Boone, Dana",Open - Litigation,Wrongful Death,GA,5/26/2026
2026-100165,Sample Client 176,"Dutta, Priya",Open - Demand Sent,Slip and Fall,FL,1/25/2026
2026-100002,Sample Client 13,"Alvarez, Marisol",Open - Demand Sent,Slip and Fall,FL,4/5/2025
2026-100500,Sample Client 511,"Lozano, Beatriz",Open - Demand Sent,Premises Liability,CA,1/1/2025
2026-100358,Sample Client 369,"Iyer, Nikhil",Open - Demand Sent,Dog Bite,FL,4/28/2026
2026-100169,Sample Client 180,"Dutta, Priya",Open - Litigation,Slip and Fall,OR,1/2/2025
2026-100039,Sample Client 50,"Alvarez, Marisol",Open - Investigation,Auto Accident,TX,3/3/2026
2026-100457,Sample Client 468,"Kowalski, Tomasz",Open - Treating,Slip and Fall,NY,3/8/2026
2026-100026,Sample Client 37,"Alvarez, Marisol",Open - Litigation,Wrongful Death,NV,3/5/2026
2026-100464,Sample Client 475,"Kowalski, Tomasz",Open - Investigation,Wrongful Death,NY,4/3/2026
2026-100431,Sample Client 442,"Kowalski, Tomasz",Open - Demand Sent,Auto Accident,FL,1/1/2026
2026-100006,Sample Client 17,"Alvarez, Marisol",Open - Demand Sent,Wrongful Death,CO,7/27/2025
2026-100060,Sample Client 71,"Boone, Dana",Open - Demand Sent,Wrongful Death,NM,4/27/2025
2026-100403,Sample Client 414,"Jarrett, Colleen",Open - Negotiation,Auto Accident,CO,7/27/2025
2026-100079,Sample Client 90,"Boone, Dana",Open - Negotiation,Dog Bite,CA,9/22/2025
2026-100278,Sample Client 289,"Guzman, Elena",Open - Litigation,Auto Accident,WA,6/13/2026
2026-100334,Sample Client 345,"Hollis, Wren",Open - Demand Sent,Dog Bite,NY,5/7/2025
2026-100248,Sample Client 259,"Fontaine, Marcus",Open - Litigation,Slip and Fall,NY,4/13/2025
2026-100070,Sample Client 81,"Boone, Dana",Open - Demand Sent,Premises Liability,FL,5/20/2025
2026-100272,Sample Client 283,"Fontaine, Marcus",Settled,Premises Liability,TX,11/28/2025
2026-100462,Sample Client 473,"Kowalski, Tomasz",Open - Demand Sent,Dog Bite,OR,9/19/2025
2026-100274,Sample Client 285,"Guzman, Elena",Open - Demand Sent,Premises Liability,NM,12/9/2025
2026-100007,Sample Client 18,"Alvarez, Marisol",Open - Negotiation,Wrongful Death,NV,7/19/2025
2026-100376,Sample Client 387,"Iyer, Nikhil",Open - Investigation,Slip and Fall,OR,12/24/2025
2026-100050,Sample Client 61,"Boone, Dana",Open - Investigation,Premises Liability,IL,1/15/2026
2026-100346,Sample Client 357,"Hollis, Wren",Settled,Premises Liability,WA,6/9/2026
2026-100046,Sample Client 57,"Boone, Dana",Open - Investigation,Wrongful Death,OR,6/16/2026
2026-100115,Sample Client 126,"Castellanos, Rafael",Open - Treating,Slip and Fall,GA,2/27/2025
2026-100084,Sample Client 95,"Boone, Dana",Open - Demand Sent,Dog Bite,CO,1/24/2026
2026-100154,Sample Client 165,"Dutta, Priya",Open - Litigation,Dog Bite,CO,8/28/2025
2026-100476,Sample Client 487,"Kowalski, Tomasz",Closed,Wrongful Death,FL,6/24/2026
2026-100320,Sample Client 331,"Hollis, Wren",Open - Litigation,Wrongful Death,CA,1/7/2026
2026-100514,Sample Client 525,"Lozano, Beatriz",Open - Negotiation,Wrongful Death,IL,3/16/2026
2026-100385,Sample Client 396,"Iyer, Nikhil",Open - Treating,Auto Accident,AZ,9/8/2025
2026-100369,Sample Client 380,"Iyer, Nikhil",Open - Negotiation,Auto Accident,FL,4/16/2026
2026-100430,Sample Client 441,"Kowalski, Tomasz",Open - Demand Sent,Premises Liability,CO,9/11/2025
2026-100461,Sample Client 472,"Kowalski, Tomasz",Open - Litigation,Wrongful Death,IL,2/20/2025
2026-100340,Sample Client 351,"Hollis, Wren",Open - Litigation,Dog Bite,OR,11/29/2025
2026-100008,Sample Client 19,"Alvarez, Marisol",Open - Litigation,Slip and Fall,TX,10/23/2025
2026-100174,Sample Client 185,"Dutta, Priya",Open - Demand Sent,Premises Liability,NV,12/15/2025
2026-100073,Sample Client 84,"Boone, Dana",Open - Litigation,Dog Bite,TX,3/23/2026
2026-100068,Sample Client 79,"Boone, Dana",Open - Investigation,Auto Accident,AZ,12/12/2025
2026-100030,Sample Client 41,"Alvarez, Marisol",Open - Litigation,Auto Accident,IL,12/13/2025
2026-100350,Sample Client 361,"Iyer, Nikhil",Open - Treating,Premises Liability,OR,1/25/2026
2026-100379,Sample Client 390,"Iyer, Nikhil",Open - Negotiation,Auto Accident,GA,4/15/2025
2026-100389,Sample Client 400,"Iyer, Nikhil",Dropped - Client Request,Wrongful Death,WA,6/27/2025
2026-100209,Sample Client 220,"Ellison, Grace",Open - Negotiation,Dog Bite,GA,5/27/2025
2026-100255,Sample Client 266,"Fontaine, Marcus",Open - Negotiation,Premises Liability,CA,11/22/2025
2026-100211,Sample Client 222,"Ellison, Grace",Open - Treating,Wrongful Death,CA,6/25/2026
2026-100055,Sample Client 66,"Boone, Dana",Open - Demand Sent,Premises Liability,NM,7/31/2025
2026-100036,Sample Client 47,"Alvarez, Marisol",Open - Demand Sent,Slip and Fall,NV,6/15/2026
2026-100359,Sample Client 370,"Iyer, Nikhil",Open - Litigation,Wrongful Death,IL,8/14/2025
2026-100155,Sample Client 166,"Dutta, Priya",Open - Investigation,Auto Accident,IL,6/3/2025
2026-100519,Sample Client 530,"Whitfield, Erin",Open - Negotiation,Dog Bite,GA,5/30/2026
2026-100001,Sample Client 12,"Alvarez, Marisol",Open - Demand Sent,Dog Bite,WA,5/6/2025
2026-100199,Sample Client 210,"Ellison, Grace",Open - Treating,Slip and Fall,NM,5/17/2025
2026-100176,Sample Client 187,"Dutta, Priya",Open - Litigation,Premises Liability,GA,6/12/2026
2026-100257,Sample Client 268,"Fontaine, Marcus",Open - Investigation,Auto Accident,OR,9/5/2025
2026-100011,Sample Client 22,"Alvarez, Marisol",Open - Demand Sent,Premises Liability,CA,6/16/2025
2026-100090,Sample Client 101,"Boone, Dana",Closed,Auto Accident,FL,6/23/2026
2026-100473,Sample Client 484,"Kowalski, Tomasz",Open - Litigation,Dog Bite,OR,5/6/2025
2026-100271,Sample Client 282,"Fontaine, Marcus",Dropped - No Contact,Slip and Fall,IL,3/17/2026
2026-100266,Sample Client 277,"Fontaine, Marcus",Open - Litigation,Auto Accident,OR,7/10/2026
2026-100411,Sample Client 422,"Jarrett, Colleen",Open - Negotiation,Premises Liability,WA,11/20/2025
2026-100196,Sample Client 207,"Ellison, Grace",Open - Litigation,Wrongful Death,GA,6/3/2025
2026-100172,Sample Client 183,"Dutta, Priya",Open - Demand Sent,Slip and Fall,CA,3/21/2025
2026-100051,Sample Client 62,"Boone, Dana",Open - Investigation,Auto Accident,AZ,6/17/2026
2026-100447,Sample Client 458,"Kowalski, Tomasz",Open - Investigation,Premises Liability,NY,7/4/2025
2026-100353,Sample Client 364,"Iyer, Nikhil",Open - Treating,Slip and Fall,IL,2/11/2025
2026-100279,Sample Client 290,"Guzman, Elena",Open - Litigation,Dog Bite,AZ,4/12/2026
2026-100042,Sample Client 53,"Alvarez, Marisol",Closed,Auto Accident,CO,4/2/2025
2026-100357,Sample Client 368,"Iyer, Nikhil",Open - Investigation,Auto Accident,CA,5/16/2025
2026-100516,Sample Client 527,"Lozano, Beatriz",Dropped - No Contact,Slip and Fall,OR,2/19/2026
2026-100072,Sample Client 83,"Boone, Dana",Open - Investigation,Dog Bite,CA,10/6/2025
2026-100044,Sample Client 55,"Boone, Dana",Open - Negotiation,Premises Liability,NY,6/18/2026
2026-100407,Sample Client 418,"Jarrett, Colleen",Open - Treating,Premises Liability,GA,7/17/2025
2026-100175,Sample Client 186,"Dutta, Priya",Open - Demand Sent,Premises Liability,NY,7/29/2025
2026-100047,Sample Client 58,"Boone, Dana",Open - Negotiation,Slip and Fall,IL,1/10/2026
2026-100349,Sample Client 360,"Iyer, Nikhil",Open - Litigation,Dog Bite,NY,8/30/2025
2026-100049,Sample Client 60,"Boone, Dana",Open - Negotiation,Dog Bite,TX,6/2/2026
2026-100306,Sample Client 317,"Guzman, Elena",Settled,Premises Liability,CA,8/15/2025
2026-100277,Sample Client 288,"Guzman, Elena",Open - Demand Sent,Wrongful Death,FL,8/23/2025
2026-100443,Sample Client 454,"Kowalski, Tomasz",Open - Demand Sent,Wrongful Death,GA,1/4/2026
2026-100029,Sample Client 40,"Alvarez, Marisol",Open - Demand Sent,Slip and Fall,CA,6/29/2026
2026-100494,Sample Client 505,"Lozano, Beatriz",Open - Treating,Wrongful Death,NY,1/23/2025
2026-100243,Sample Client 254,"Fontaine, Marcus",Open - Treating,Premises Liability,OR,1/24/2025
2026-100452,Sample Client 463,"Kowalski, Tomasz",Open - Demand Sent,Dog Bite,OR,3/5/2026
2026-100400,Sample Client 411,"Jarrett, Colleen",Open - Investigation,Dog Bite,WA,3/18/2025
2026-100235,Sample Client 246,"Fontaine, Marcus",Open - Negotiation,Wrongful Death,NM,4/15/2025
2026-100120,Sample Client 131,"Castellanos, Rafael",Open - Negotiation,Auto Accident,CA,3/16/2025
2026-100052,Sample Client 63,"Boone, Dana",Open - Litigation,Dog Bite,CA,11/6/2025
2026-100184,Sample Client 195,"Dutta, Priya",Settled,Auto Accident,AZ,1/7/2025
2026-100405,Sample Client 416,"Jarrett, Colleen",Open - Litigation,Auto Accident,CO,4/29/2026
2026-100304,Sample Client 315,"Guzman, Elena",Settled,Dog Bite,WA,10/9/2025
2026-100231,Sample Client 242,"Fontaine, Marcus",Open - Treating,Premises Liability,OR,1/27/2025
2026-100031,Sample Client 42,"Alvarez, Marisol",Open - Negotiation,Auto Accident,GA,6/17/2025
2026-100186,Sample Client 197,"Dutta, Priya",Referred Out,Premises Liability,IL,2/18/2026
2026-100456,Sample Client 467,"Kowalski, Tomasz",Open - Litigation,Auto Accident,NV,11/7/2025
2026-100159,Sample Client 170,"Dutta, Priya",Open - Investigation,Dog Bite,NV,9/21/2025
2026-100426,Sample Client 437,"Jarrett, Colleen",Dropped - Client Request,Dog Bite,NV,3/20/2025
2026-100092,Sample Client 103,"Castellanos, Rafael",Open - Demand Sent,Auto Accident,GA,4/8/2025
2026-100033,Sample Client 44,"Alvarez, Marisol",Open - Litigation,Wrongful Death,AZ,1/29/2025
2026-100234,Sample Client 245,"Fontaine, Marcus",Open - Demand Sent,Premises Liability,FL,9/29/2025
2026-100423,Sample Client 434,"Jarrett, Colleen",Settled,Premises Liability,NM,5/9/2026
2026-100260,Sample Client 271,"Fontaine, Marcus",Open - Litigation,Premises Liability,GA,1/7/2025
2026-100477,Sample Client 488,"Kowalski, Tomasz",Settled,Auto Accident,GA,5/14/2026
2026-100254,Sample Client 265,"Fontaine, Marcus",Open - Investigation,Premises Liability,NV,3/2/2026
2026-100065,Sample Client 76,"Boone, Dana",Open - Litigation,Dog Bite,WA,3/3/2026
2026-100080,Sample Client 91,"Boone, Dana",Open - Negotiation,Premises Liability,CA,1/22/2025
2026-100005,Sample Client 16,"Alvarez, Marisol",Open - Litigation,Wrongful Death,NM,7/13/2025
2026-100282,Sample Client 293,"Guzman, Elena",Open - Demand Sent,Slip and Fall,AZ,10/29/2025
2026-100102,Sample Client 113,"Castellanos, Rafael",Open - Treating,Slip and Fall,IL,6/10/2026
2026-100339,Sample Client 350,"Hollis, Wren",Open - Demand Sent,Slip and Fall,GA,3/15/2026
2026-100188,Sample Client 199,"Ellison, Grace",Open - Investigation,Dog Bite,FL,6/14/2025
2026-100319,Sample Client 330,"Hollis, Wren",Open - Treating,Auto Accident,GA,11/5/2025
2026-100435,Sample Client 446,"Kowalski, Tomasz",Open - Negotiation,Dog Bite,CO,5/18/2026
2026-100355,Sample Client 366,"Iyer, Nikhil",Open - Investigation,Auto Accident,NM,2/14/2025
2026-100116,Sample Client 127,"Castellanos, Rafael",Open - Investigation,Wrongful Death,AZ,3/14/2025
2026-100308,Sample Client 319,"Hollis, Wren",Open - Treating,Wrongful Death,TX,5/23/2025
2026-100071,Sample Client 82,"Boone, Dana",Open - Negotiation,Auto Accident,NV,6/4/2026
2026-100285,Sample Client 296,"Guzman, Elena",Open - Negotiation,Dog Bite,AZ,5/6/2026
2026-100219,Sample Client 230,"Ellison, Grace",Dropped - Client Request,Premises Liability,NY,3/10/2025
2026-100124,Sample Client 135,"Castellanos, Rafael",Open - Negotiation,Premises Liability,TX,3/16/2026
2026-100329,Sample Client 340,"Hollis, Wren",Open - Litigation,Dog Bite,OR,3/31/2026
2026-100108,Sample Client 119,"Castellanos, Rafael",Open - Demand Sent,Auto Accident,GA,3/7/2026
2026-100013,Sample Client 24,"Alvarez, Marisol",Open - Negotiation,Wrongful Death,CA,1/16/2026
2026-100454,Sample Client 465,"Kowalski, Tomasz",Open - Negotiation,Slip and Fall,WA,12/25/2025
2026-100436,Sample Client 447,"Kowalski, Tomasz",Open - Investigation,Wrongful Death,GA,11/30/2025
2026-100229,Sample Client 240,"Fontaine, Marcus",Open - Litigation,Premises Liability,OR,5/8/2025
2026-100233,Sample Client 244,"Fontaine, Marcus",Open - Demand Sent,Slip and Fall,OR,4/30/2025
2026-100501,Sample Client 512,"Lozano, Beatriz",Open - Litigation,Auto Accident,NV,6/11/2026
2026-100109,Sample Client 120,"Castellanos, Rafael",Open - Negotiation,Auto Accident,FL,9/26/2025
2026-100250,Sample Client 261,"Fontaine, Marcus",Open - Demand Sent,Premises Liability,AZ,8/13/2025
2026-100185,Sample Client 196,"Dutta, Priya",Closed,Slip and Fall,CA,7/11/2026
2026-100313,Sample Client 324,"Hollis, Wren",Open - Investigation,Wrongful Death,CO,3/7/2026
2026-100371,Sample Client 382,"Iyer, Nikhil",Open - Demand Sent,Premises Liability,IL,4/9/2025
2026-100367,Sample Client 378,"Iyer, Nikhil",Open - Investigation,Premises Liability,CO,10/1/2025
2026-100433,Sample Client 444,"Kowalski, Tomasz",Open - Litigation,Dog Bite,NM,6/10/2026
2026-100129,Sample Client 140,"Castellanos, Rafael",Dropped - Client Request,Premises Liability,IL,11/1/2025
2026-100424,Sample Client 435,"Jarrett, Colleen",Closed,Wrongful Death,IL,5/23/2025
2026-100291,Sample Client 302,"Guzman, Elena",Open - Negotiation,Auto Accident,GA,12/2/2025
2026-100273,Sample Client 284,"Guzman, Elena",Open - Investigation,Auto Accident,FL,6/1/2026
2026-100327,Sample Client 338,"Hollis, Wren",Open - Investigation,Dog Bite,CO,6/25/2025
2026-100468,Sample Client 479,"Kowalski, Tomasz",Open - Negotiation,Auto Accident,FL,3/22/2026
2026-100375,Sample Client 386,"Iyer, Nikhil",Open - Treating,Wrongful Death,CO,1/3/2026
2026-100512,Sample Client 523,"Lozano, Beatriz",Open - Investigation,Slip and Fall,CO,11/14/2025
2026-100214,Sample Client 225,"Ellison, Grace",Open - Negotiation,Dog Bite,OR,7/10/2026
2026-100048,Sample Client 59,"Boone, Dana",Open - Negotiation,Dog Bite,IL,5/20/2025
2026-100059,Sample Client 70,"Boone, Dana",Open - Litigation,Auto Accident,CO,8/20/2025
2026-100138,Sample Client 149,"Dutta, Priya",Open - Treating,Premises Liability,NV,2/9/2025
2026-100189,Sample Client 200,"Ellison, Grace",Open - Negotiation,Slip and Fall,TX,12/24/2025
2026-100467,Sample Client 478,"Kowalski, Tomasz",Open - Negotiation,Slip and Fall,IL,3/26/2025
2026-100113,Sample Client 124,"Castellanos, Rafael",Open - Demand Sent,Wrongful Death,GA,6/30/2026
2026-100057,Sample Client 68,"Boone, Dana",Open - Investigation,Premises Liability,IL,12/14/2025
2026-100307,Sample Client 318,"Hollis, Wren",Open - Treating,Wrongful Death,CO,3/29/2026
2026-100105,Sample Client 116,"Castellanos, Rafael",Open - Treating,Slip and Fall,FL,5/8/2026
2026-100393,Sample Client 404,"Jarrett, Colleen",Open - Demand Sent,Wrongful Death,NV,8/19/2025
2026-100312,Sample Client 323,"Hollis, Wren",Open - Treating,Slip and Fall,GA,10/22/2025
2026-100236,Sample Client 247,"Fontaine, Marcus",Open - Investigation,Dog Bite,TX,7/3/2026
2026-100107,Sample Client 118,"Castellanos, Rafael",Open - Treating,Auto Accident,NM,6/9/2026
2026-100496,Sample Client 507,"Lozano, Beatriz",Open - Litigation,Wrongful Death,TX,4/18/2026
2026-100399,Sample Client 410,"Jarrett, Colleen",Open - Litigation,Auto Accident,WA,9/30/2025
2026-100240,Sample Client 251,"Fontaine, Marcus",Open - Negotiation,Slip and Fall,AZ,9/9/2025
2026-100179,Sample Client 190,"Dutta, Priya",Open - Investigation,Wrongful Death,CO,4/17/2026
2026-100302,Sample Client 313,"Guzman, Elena",Open - Demand Sent,Premises Liability,CO,7/4/2026
2026-100305,Sample Client 316,"Guzman, Elena",Referred Out,Premises Liability,NM,5/26/2025
2026-100127,Sample Client 138,"Castellanos, Rafael",Dropped - Client Request,Premises Liability,CA,11/8/2025
2026-100037,Sample Client 48,"Alvarez, Marisol",Open - Negotiation,Auto Accident,NM,6/8/2025
2026-100041,Sample Client 52,"Alvarez, Marisol",Closed,Slip and Fall,WA,1/10/2026
2026-100398,Sample Client 409,"Jarrett, Colleen",Open - Demand Sent,Premises Liability,NV,3/4/2026
2026-100149,Sample Client 160,"Dutta, Priya",Open - Demand Sent,Dog Bite,CA,10/24/2025
2026-100294,Sample Client 305,"Guzman, Elena",Open - Treating,Auto Accident,CA,4/16/2025
2026-100491,Sample Client 502,"Lozano, Beatriz",Open - Treating,Auto Accident,NV,6/11/2025
2026-100258,Sample Client 269,"Fontaine, Marcus",Open - Treating,Premises Liability,TX,4/26/2025
2026-100215,Sample Client 226,"Ellison, Grace",Open - Investigation,Auto Accident,IL,6/11/2025
2026-100096,Sample Client 107,"Castellanos, Rafael",Open - Negotiation,Dog Bite,NY,1/5/2026
2026-100017,Sample Client 28,"Alvarez, Marisol",Open - Demand Sent,Premises Liability,TX,5/18/2025
2026-100085,Sample Client 96,"Boone, Dana",Open - Investigation,Premises Liability,TX,1/21/2025
2026-100337,Sample Client 348,"Hollis, Wren",Open - Litigation,Dog Bite,NM,8/28/2025
2026-100264,Sample Client 275,"Fontaine, Marcus",Open - Demand Sent,Wrongful Death,NV,2/8/2026
2026-100418,Sample Client 429,"Jarrett, Colleen",Open - Negotiation,Premises Liability,AZ,10/25/2025
2026-100289,Sample Client 300,"Guzman, Elena",Open - Litigation,Premises Liability,FL,2/15/2025
2026-100224,Sample Client 235,"Ellison, Grace",Dropped - Client Request,Slip and Fall,AZ,11/8/2025
2026-100187,Sample Client 198,"Ellison, Grace",Open - Negotiation,Dog Bite,IL,11/25/2025
2026-100511,Sample Client 522,"Lozano, Beatriz",Open - Treating,Premises Liability,GA,9/10/2025
2026-100280,Sample Client 291,"Guzman, Elena",Open - Demand Sent,Premises Liability,NM,7/4/2026
2026-100459,Sample Client 470,"Kowalski, Tomasz",Open - Treating,Wrongful Death,NM,3/19/2025
2026-100344,Sample Client 355,"Hollis, Wren",Open - Treating,Wrongful Death,CO,11/30/2025
2026-100145,Sample Client 156,"Dutta, Priya",Open - Demand Sent,Dog Bite,NV,1/8/2026
2026-100303,Sample Client 314,"Guzman, Elena",Dropped - Client Request,Wrongful Death,NV,3/17/2025
2026-100166,Sample Client 177,"Dutta, Priya",Open - Negotiation,Auto Accident,IL,10/20/2025
2026-100064,Sample Client 75,"Boone, Dana",Open - Negotiation,Premises Liability,NY,4/29/2026
2026-100205,Sample Client 216,"Ellison, Grace",Open - Litigation,Dog Bite,AZ,9/27/2025
2026-100216,Sample Client 227,"Ellison, Grace",Open - Investigation,Auto Accident,CA,1/7/2026
2026-100088,Sample Client 99,"Boone, Dana",Referred Out,Premises Liability,NM,6/15/2026
2026-100034,Sample Client 45,"Alvarez, Marisol",Open - Treating,Slip and Fall,NM,6/21/2026
2026-100097,Sample Client 108,"Castellanos, Rafael",Open - Investigation,Slip and Fall,WA,8/24/2025
2026-100287,Sample Client 298,"Guzman, Elena",Open - Investigation,Dog Bite,CO,5/18/2026
2026-100220,Sample Client 231,"Ellison, Grace",Closed,Dog Bite,NM,5/5/2025
2026-100444,Sample Client 455,"Kowalski, Tomasz",Open - Investigation,Auto Accident,GA,10/18/2025
2026-100000,Sample Client 11,"Alvarez, Marisol",Open - Negotiation,Auto Accident,CO,3/8/2025
2026-100081,Sample Client 92,"Boone, Dana",Open - Investigation,Wrongful Death,CA,7/31/2025
2026-100395,Sample Client 406,"Jarrett, Colleen",Open - Litigation,Premises Liability,TX,4/15/2026
2026-100293,Sample Client 304,"Guzman, Elena",Open - Negotiation,Premises Liability,OR,3/1/2026
2026-100038,Sample Client 49,"Alvarez, Marisol",Open - Demand Sent,Dog Bite,TX,6/16/2026
2026-100114,Sample Client 125,"Castellanos, Rafael",Open - Demand Sent,Slip and Fall,GA,1/28/2025
2026-100495,Sample Client 506,"Lozano, Beatriz",Open - Investigation,Dog Bite,CO,5/5/2026
2026-100101,Sample Client 112,"Castellanos, Rafael",Open - Treating,Wrongful Death,OR,8/20/2025
2026-100299,Sample Client 310,"Guzman, Elena",Open - Litigation,Auto Accident,AZ,1/23/2025
2026-100173,Sample Client 184,"Dutta, Priya",Open - Demand Sent,Wrongful Death,NY,1/28/2025
2026-100082,Sample Client 93,"Boone, Dana",Open - Investigation,Slip and Fall,WA,6/30/2026
2026-100388,Sample Client 399,"Iyer, Nikhil",Open - Treating,Wrongful Death,AZ,7/13/2026
2026-100053,Sample Client 64,"Boone, Dana",Open - Investigation,Premises Liability,TX,9/9/2025
2026-100140,Sample Client 151,"Dutta, Priya",Open - Litigation,Slip and Fall,NY,4/30/2026
2026-100256,Sample Client 267,"Fontaine, Marcus",Open - Negotiation,Dog Bite,CA,6/1/2026
2026-100493,Sample Client 504,"Lozano, Beatriz",Open - Litigation,Dog Bite,AZ,7/3/2026
2026-100472,Sample Client 483,"Kowalski, Tomasz",Open - Demand Sent,Premises Liability,FL,8/22/2025
2026-100362,Sample Client 373,"Iyer, Nikhil",Open - Treating,Premises Liability,NV,4/10/2025
2026-100119,Sample Client 130,"Castellanos, Rafael",Open - Litigation,Wrongful Death,IL,11/27/2025
2026-100098,Sample Client 109,"Castellanos, Rafael",Open - Treating,Wrongful Death,NY,1/1/2025
2026-100392,Sample Client 403,"Iyer, Nikhil",Settled,Wrongful Death,CA,5/5/2025
2026-100177,Sample Client 188,"Dutta, Priya",Open - Negotiation,Dog Bite,IL,1/31/2026
2026-100213,Sample Client 224,"Ellison, Grace",Open - Investigation,Premises Liability,GA,3/25/2026
2026-100471,Sample Client 482,"Kowalski, Tomasz",Open - Investigation,Slip and Fall,GA,2/4/2026
2026-100160,Sample Client 171,"Dutta, Priya",Open - Treating,Auto Accident,GA,4/21/2026
2026-100380,Sample Client 391,"Iyer, Nikhil",Open - Litigation,Dog Bite,TX,8/6/2025
2026-100192,Sample Client 203,"Ellison, Grace",Open - Treating,Slip and Fall,CA,6/6/2025
2026-100363,Sample Client 374,"Iyer, Nikhil",Open - Investigation,Wrongful Death,OR,11/29/2025
2026-100125,Sample Client 136,"Castellanos, Rafael",Dropped - Client Request,Slip and Fall,CO,1/27/2025
2026-100324,Sample Client 335,"Hollis, Wren",Open - Negotiation,Auto Accident,CA,1/25/2025
2026-100180,Sample Client 191,"Dutta, Priya",Open - Litigation,Dog Bite,CO,5/29/2026
2026-100069,Sample Client 80,"Boone, Dana",Open - Litigation,Premises Liability,OR,10/11/2025
2026-100484,Sample Client 495,"Lozano, Beatriz",Open - Treating,Dog Bite,FL,12/30/2025
2026-100106,Sample Client 117,"Castellanos, Rafael",Open - Negotiation,Auto Accident,TX,11/8/2025
2026-100040,Sample Client 51,"Alvarez, Marisol",Referred Out,Slip and Fall,CO,3/7/2026
2026-100171,Sample Client 182,"Dutta, Priya",Open - Negotiation,Dog Bite,IL,5/21/2025
